Return ID,Size,Gender,Item Code,Item Description,Return Description,Brand,Return Type,Date logged,City,Area Code,Origin,Stage,Sub Status,Returned Successfully,Satisfaction,Within SLA,Closed date
529,L,Women,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,General Return,01/01/2019,Birmingham,B28 9HA ,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,16/01/2019
530,XXL,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/02/2019,Birmingham,B18 5QS,Social,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
531,S,Men,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B28 9HG ,Web,Stage 3,Rejected,TRUE,2,TRUE,16/03/2019
532,M,Women,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/04/2019,Birmingham,B17 0HB,In Store,Stage 2,Closed,TRUE,3,TRUE,16/04/2019
533,L,Mixed,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/05/2019,Birmingham,B16 9DX,Letter,Stage 1,Acknowledged,FALSE,7,FALSE,30/06/2019
534,XL,Men,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/06/2019,Birmingham,B26 3JS ,Chat,Stage 2,In Progress,FALSE,7,TRUE,16/06/2019
535,XXL,Women,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Unexpected Issue,01/07/2019,Birmingham,B18 5QT,Social,Stage 3,Decision Pending,FALSE,8,TRUE,16/07/2019
536,L,Mixed,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,General Return,01/07/2019,Birmingham,B28 9HH ,Web,Completed,Decision Pending,FALSE,0,FALSE,30/08/2019
537,M,Men,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/09/2019,Birmingham,B17 0AS ,Phone,Stage 1,Upheld,FALSE,4,TRUE,16/09/2019
538,L,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/10/2019,Birmingham,B16 9JN,Phone,Stage 2,Rejected,TRUE,3,TRUE,16/10/2019
539,XL,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/11/2019,Birmingham,B26 3LS ,Chat,Stage 3,Closed,TRUE,1,FALSE,30/01/2020
540,XXL,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/12/2019,Birmingham,B23 5FU,In Store,Completed,Acknowledged,FALSE,0,TRUE,16/12/2019
541,S,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/01/2019,Birmingham,B28 9HS ,In Store,Stage 1,In Progress,FALSE,1,TRUE,16/01/2019
542,L,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,General Return,01/02/2019,Birmingham,B17 0AT ,Phone,Stage 2,Decision Pending,FALSE,3,FALSE,02/05/2019
543,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/03/2019,Birmingham,B15 3UN,Letter,Stage 3,Decision Pending,FALSE,5,TRUE,16/03/2019
544,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/04/2019,Birmingham,B26 3NJ ,Chat,Completed,Upheld,FALSE,7,TRUE,16/04/2019
545,XXL,Mixed,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/05/2019,Birmingham,B28 9HT ,Phone,Stage 1,Rejected,TRUE,1,TRUE,16/05/2019
546,S,Men,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,General Return,01/06/2019,Birmingham,B28 9HW ,In Store,Stage 2,Decision Pending,FALSE,2,TRUE,16/06/2019
547,M,Women,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Quality of Product,01/07/2019,Birmingham,B17 0AU ,Phone,Stage 3,Acknowledged,FALSE,4,TRUE,16/07/2019
548,L,Mixed,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/07/2019,Birmingham,B16 9ND,Letter,Completed,In Progress,FALSE,1,FALSE,30/08/2019
549,XL,Men,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/09/2019,Birmingham,B26 3NL ,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,16/09/2019
550,XXL,Women,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/10/2019,Birmingham,B11 1NU ,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/10/2019
551,S,Mixed,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/11/2019,Birmingham,B28 9JA ,Web,Stage 3,Upheld,FALSE,1,FALSE,30/01/2020
552,M,Men,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/12/2019,Birmingham,B17 0AX ,Phone,Completed,Rejected,TRUE,0,TRUE,16/12/2019
553,L,Women,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/01/2019,Birmingham,B16 0PW,In Store,Stage 1,Closed,TRUE,3,TRUE,16/01/2019
554,XL,Mixed,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/02/2019,Birmingham,B26 3NR ,In Store,Stage 2,Acknowledged,FALSE,1,FALSE,02/05/2019
555,XXL,Men,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/03/2019,Birmingham,B11 1NY ,Social,Stage 3,In Progress,FALSE,8,TRUE,16/03/2019
556,S,Women,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/04/2019,Birmingham,B28 9JB,Web,Completed,Decision Pending,FALSE,2,TRUE,16/04/2019
557,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/05/2019,Birmingham,B17 0AY,Phone,Stage 1,Decision Pending,FALSE,1,FALSE,30/07/2019
558,L,Men,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,General Return,01/06/2019,Birmingham,B15 2TJ,Letter,Stage 2,Upheld,FALSE,6,TRUE,16/06/2019
559,XL,Women,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B26 3NW ,Chat,Stage 3,Rejected,TRUE,3,TRUE,16/07/2019
560,L,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/08/2019,Birmingham,B11 1PB,Social,Completed,Closed,FALSE,1,FALSE,15/09/2019
561,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/09/2019,Birmingham,B28 8AA,In Store,Stage 1,Decision Pending,FALSE,1,TRUE,16/09/2019
562,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/10/2019,Birmingham,B28 9BL,Phone,Stage 2,In Progress,FALSE,3,TRUE,16/10/2019
563,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/11/2019,Birmingham,B15 2TA,Letter,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
564,L,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/12/2019,Birmingham,B26 3PD ,Chat,Completed,Decision Pending,FALSE,7,TRUE,16/12/2019
565,XXL,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/01/2019,Birmingham,B14 7QD ,Social,Stage 1,Upheld,FALSE,8,TRUE,16/01/2019
566,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/02/2019,Birmingham,B28 9BJ,Web,Stage 2,Rejected,TRUE,2,TRUE,16/02/2019
567,M,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Quality of Product,01/03/2019,Birmingham,B17 9RD ,In Store,Stage 3,Closed,TRUE,4,TRUE,16/03/2019
568,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/04/2019,Birmingham,B15 2SY,Letter,Completed,Acknowledged,FALSE,6,TRUE,16/04/2019
569,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/05/2019,Birmingham,B26 3PG ,In Store,Stage 2,In Progress,FALSE,0,FALSE,30/07/2019
570,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/06/2019,Birmingham,B14 7QE,Social,Stage 2,Decision Pending,FALSE,7,TRUE,16/06/2019
571,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/07/2019,Birmingham,B28 0PH,Web,Stage 3,Decision Pending,FALSE,1,TRUE,16/07/2019
572,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/08/2019,Birmingham,B17 9RE ,Phone,Completed,Upheld,FALSE,0,FALSE,30/09/2019
573,L,Men,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/09/2019,Birmingham,B15 2GW ,Letter,Stage 1,Rejected,TRUE,2,TRUE,16/09/2019
574,XL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/10/2019,Birmingham,B26 3PN ,Chat,Stage 2,Closed,TRUE,7,TRUE,16/10/2019
575,XXL,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/11/2019,Birmingham,B18 5NR,In Store,Stage 3,Decision Pending,FALSE,0,FALSE,30/01/2020
576,S,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/12/2019,Birmingham,B28 8BA ,Web,Completed,In Progress,FALSE,2,TRUE,16/12/2019
577,M,Women,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Customer Service Failure,01/01/2019,Birmingham,B17 9RF,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,16/01/2019
578,L,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Incorrect Fitting,01/02/2019,Birmingham,B15 2WB,Letter,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
579,XL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,General Return,01/03/2019,Birmingham,B26 3PP ,Chat,Stage 3,Upheld,FALSE,8,TRUE,16/03/2019
580,XXL,Women,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/04/2019,Birmingham,B28 8BB ,Social,Stage 2,Rejected,TRUE,0,TRUE,16/04/2019
581,S,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/05/2019,Birmingham,B28 8BD ,Web,Stage 1,Closed,TRUE,0,FALSE,30/06/2019
582,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/06/2019,Birmingham,B17 9JT ,In Store,Stage 2,Acknowledged,FALSE,3,TRUE,16/06/2019
583,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/07/2019,Birmingham,B16 9HR,Phone,Stage 3,In Progress,FALSE,7,TRUE,16/07/2019
584,XL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/08/2019,Birmingham,B26 3PX ,In Store,Completed,Decision Pending,FALSE,1,FALSE,30/09/2019
585,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/09/2019,Birmingham,B24 8HE,Social,Stage 1,Decision Pending,FALSE,8,TRUE,16/09/2019
586,S,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/10/2019,Birmingham,B28 8BE ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/10/2019
587,M,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/11/2019,Birmingham,B17 9LH ,Phone,Stage 3,Rejected,TRUE,3,TRUE,16/11/2019
588,L,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/12/2019,Birmingham,B16 9DU,Letter,Completed,Closed,FALSE,1,FALSE,30/01/2020
589,XL,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/01/2019,Birmingham,B26 3PY ,Chat,Stage 1,Acknowledged,FALSE,8,TRUE,16/01/2019
590,XXL,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/02/2019,Birmingham,B29 4NS ,Social,Stage 2,In Progress,FALSE,0,FALSE,02/05/2019
591,S,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/03/2019,Birmingham,B28 8LE ,In Store,Stage 3,Decision Pending,FALSE,1,TRUE,16/03/2019
592,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/04/2019,Birmingham,B17 9LP ,Phone,Completed,Decision Pending,FALSE,3,TRUE,16/04/2019
593,L,Mixed,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Unexpected Issue,01/05/2019,Birmingham,B15 2NN,Letter,Stage 1,Upheld,FALSE,1,FALSE,30/06/2019
594,XL,Men,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/06/2019,Birmingham,B26 3YU,Chat,Stage 2,Rejected,TRUE,4,TRUE,16/06/2019
595,L,Women,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Unexpected Issue,01/07/2019,Birmingham,B29 4NT ,Phone,Stage 3,Closed,TRUE,8,TRUE,16/07/2019
596,S,Mixed,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/08/2019,Birmingham,B28 8LF ,Web,Completed,Decision Pending,FALSE,1,FALSE,30/09/2019
597,M,Men,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Customer Service Failure,01/09/2019,Birmingham,B17 9LR ,In Store,Stage 1,In Progress,FALSE,7,TRUE,16/09/2019
598,L,Women,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Incorrect Fitting,01/10/2019,Birmingham,B15 3AY ,In Store,Stage 2,Decision Pending,FALSE,6,TRUE,16/10/2019
599,XL,Mixed,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,General Return,01/11/2019,Birmingham,B28 8LH ,Chat,Stage 2,Decision Pending,FALSE,1,FALSE,30/01/2020
600,XXL,Men,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Incorrect Fitting,01/12/2019,Birmingham,B29 4NU ,Social,Completed,Upheld,FALSE,10,TRUE,16/12/2019
601,S,Women,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/01/2019,Birmingham,B28 8LW,Web,Stage 1,Rejected,TRUE,3,TRUE,16/01/2019
602,L,Mixed,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/02/2019,Birmingham,B17 9LS ,Phone,Stage 2,Closed,TRUE,1,FALSE,02/05/2019
603,L,Men,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/03/2019,Birmingham,B15 3PR ,Letter,Stage 3,Acknowledged,FALSE,5,TRUE,16/03/2019
604,XL,Women,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B26 3JY ,Chat,Completed,In Progress,FALSE,7,TRUE,16/04/2019
605,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/05/2019,Birmingham,B29 4NZ ,In Store,Stage 1,Decision Pending,FALSE,1,FALSE,30/07/2019
606,S,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/06/2019,Birmingham,B28 0TJ ,Phone,Stage 2,Decision Pending,FALSE,2,TRUE,16/06/2019
607,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/07/2019,Birmingham,B17 9LU ,Phone,Stage 2,Upheld,FALSE,4,TRUE,16/07/2019
608,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/08/2019,Birmingham,B15 3PS ,Letter,Completed,Rejected,TRUE,1,TRUE,16/08/2019
609,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/09/2019,Birmingham,B26 3LA ,Chat,Stage 1,Closed,TRUE,8,TRUE,16/09/2019
610,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Unexpected Issue,01/10/2019,Birmingham,B29 4PA ,Social,Stage 2,Acknowledged,FALSE,10,TRUE,16/10/2019
611,S,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/11/2019,Birmingham,B28 0TR ,In Store,Stage 3,In Progress,FALSE,1,FALSE,01/12/2019
612,M,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/12/2019,Birmingham,B17 9LX ,In Store,Completed,Decision Pending,FALSE,7,TRUE,16/12/2019
613,L,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Unexpected Issue,01/01/2019,Birmingham,B15 3PU ,Letter,Stage 1,Decision Pending,FALSE,5,TRUE,16/01/2019
614,XL,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/02/2019,Birmingham,B26 3LE,Chat,Stage 2,Upheld,FALSE,7,FALSE,02/05/2019
615,XXL,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Unexpected Issue,01/03/2019,Birmingham,B29 4PG ,Social,Stage 3,Decision Pending,FALSE,8,TRUE,16/03/2019
616,S,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,General Return,01/04/2019,Birmingham,B28 0TS ,Phone,Completed,Closed,FALSE,1,FALSE,31/05/2019
617,M,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Customer Service Failure,01/05/2019,Birmingham,B17 9LY,Phone,Stage 1,Acknowledged,FALSE,4,FALSE,30/06/2019
618,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/06/2019,Birmingham,B15 3PZ ,Letter,Stage 2,In Progress,FALSE,6,TRUE,16/06/2019
619,XL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/07/2019,Birmingham,B28 0TT ,In Store,Stage 3,Decision Pending,FALSE,8,TRUE,16/07/2019
620,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/08/2019,Birmingham,B29 4PH ,Social,Stage 2,Decision Pending,FALSE,1,FALSE,30/10/2019
621,S,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/09/2019,Birmingham,B28 0TU ,Web,Stage 1,Upheld,FALSE,1,TRUE,16/09/2019
622,M,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/10/2019,Birmingham,B17 8TU,Phone,Stage 2,Rejected,TRUE,2,TRUE,16/10/2019
623,L,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/11/2019,Birmingham,B15 3QD,Letter,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
624,XL,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/12/2019,Birmingham,B26 3TU,In Store,Completed,Acknowledged,FALSE,7,TRUE,16/12/2019
625,XXL,Women,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/01/2019,Birmingham,B29 4PQ ,Phone,Stage 2,In Progress,FALSE,8,TRUE,16/01/2019
626,S,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/02/2019,Birmingham,B28 0TX,Web,Stage 2,Decision Pending,FALSE,2,FALSE,02/05/2019
627,M,Men,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Quality of Product,01/03/2019,Birmingham,B17 8QQ,In Store,Stage 3,Decision Pending,FALSE,7,TRUE,16/03/2019
628,L,Women,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/04/2019,Birmingham,B15 3PP,Letter,Completed,Upheld,FALSE,6,TRUE,16/04/2019
629,XL,Mixed,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/05/2019,Birmingham,B26 3SZ,Chat,Stage 2,Rejected,TRUE,1,TRUE,16/05/2019
630,XXL,Men,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/06/2019,Birmingham,B29 4PS ,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/06/2019
631,S,Women,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/07/2019,Birmingham,B28 8LU ,Web,Stage 3,Acknowledged,FALSE,1,TRUE,16/07/2019
632,M,Mixed,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/08/2019,Birmingham,B17 9EH,Phone,Stage 2,In Progress,FALSE,1,FALSE,30/10/2019
633,L,Men,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Unexpected Issue,01/09/2019,Birmingham,B15 2TE,Phone,Stage 1,Decision Pending,FALSE,5,TRUE,16/09/2019
634,XL,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/10/2019,Birmingham,B26 3SX ,In Store,Stage 2,Decision Pending,FALSE,7,TRUE,16/10/2019
635,XXL,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/11/2019,Birmingham,B29 4PY ,In Store,Stage 2,Upheld,FALSE,1,FALSE,30/01/2020
636,S,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/12/2019,Birmingham,B28 8LX ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/12/2019
637,M,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/01/2019,Birmingham,B17 0SN ,Phone,Stage 1,Closed,TRUE,4,TRUE,16/01/2019
638,L,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Incorrect Fitting,01/02/2019,Birmingham,B15 3JT ,Letter,Stage 2,Acknowledged,FALSE,0,FALSE,02/05/2019
639,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/03/2019,Birmingham,B26 3SY,Chat,Stage 3,In Progress,FALSE,8,TRUE,16/03/2019
640,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/04/2019,Birmingham,B28 8NA ,Phone,Completed,Decision Pending,FALSE,10,TRUE,16/04/2019
641,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/05/2019,Birmingham,B28 8NB ,Web,Stage 2,Decision Pending,FALSE,1,FALSE,30/07/2019
642,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/06/2019,Birmingham,B17 0SP ,In Store,Stage 2,Upheld,FALSE,3,TRUE,16/06/2019
643,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/07/2019,Birmingham,B15 3JU ,Letter,Stage 3,Rejected,TRUE,2,TRUE,16/07/2019
644,XL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/08/2019,Birmingham,B26 3LB,Chat,Completed,Closed,FALSE,3,FALSE,30/09/2019
645,XXL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/09/2019,Birmingham,B29 4PZ,Social,Stage 2,Decision Pending,FALSE,8,TRUE,16/09/2019
646,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/10/2019,Birmingham,B28 8ND ,In Store,Stage 2,In Progress,FALSE,2,TRUE,16/10/2019
647,M,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/11/2019,Birmingham,B17 0SR,Phone,Stage 3,Decision Pending,FALSE,4,FALSE,01/12/2019
